Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,1,34.4618,0.03686,31.92128,32.37241,32.83389,33.60502,34.4618,35.31858,36.08971,36.55119,37.0023239
1,1,1,37.2759,0.03133,34.94019,35.35495,35.77923,36.48819,37.2759,38.06361,38.77257,39.19685,39.6116079
1,2,1,39.1285,0.02997,36.78314,37.19961,37.62565,38.33754,39.1285,39.91946,40.63135,41.05739,41.4738623
1,3,1,40.5135,0.02918,38.14913,38.56898,38.99847,39.71613,40.5135,41.31087,42.02853,42.45802,42.8778679
1,4,1,41.6317,0.02868,39.24371,39.66775,40.10153,40.82636,41.6317,42.43704,43.16187,43.59565,44.0196943
1,5,1,42.5576,0.02837,40.14288,40.57167,41.01031,41.74325,42.5576,43.37195,44.10489,44.54353,44.9723182
1,6,1,43.3306,0.02817,40.88935,41.32285,41.76631,42.5073,43.3306,44.1539,44.89489,45.33835,45.771846
1,7,1,43.9803,0.02804,41.51388,41.95185,42.39988,43.14851,43.9803,44.81209,45.56072,46.00875,46.4467152
1,8,1,44.53,0.02796,42.03988,42.48206,42.93439,43.69022,44.53,45.36978,46.12561,46.57794,47.0201176
1,9,1,44.9998,0.02792,42.48701,42.93322,43.38967,44.15237,44.9998,45.84723,46.60993,47.06638,47.5125888
1,10,1,45.4051,0.0279,42.8715,43.3214,43.78163,44.55065,45.4051,46.25955,47.02857,47.4888,47.9387046
1,11,1,45.7573,0.02789,43.20496,43.65819,44.12182,44.89654,45.7573,46.61806,47.39278,47.85641,48.3096422
1,12,1,46.0661,0.02789,43.49653,43.95282,44.41958,45.19953,46.0661,46.93267,47.71262,48.17938,48.6356671
1,13,1,46.3395,0.02789,43.75468,44.21368,44.68321,45.46778,46.3395,47.21122,47.99579,48.46532,48.9243173
1,14,1,46.5844,0.02791,43.98406,44.44581,44.91816,45.70745,46.5844,47.46135,48.25064,48.72299,49.1847412
1,15,1,46.806,0.02792,44.19235,44.65647,45.13124,45.92456,46.806,47.68744,48.48076,48.95553,49.419647
1,16,1,47.0088,0.02795,44.38101,44.84763,45.32497,46.12259,47.0088,47.89501,48.69263,49.16997,49.6365919
1,17,1,47.1962,0.02797,44.55604,45.02487,45.50445,46.30582,47.1962,48.08658,48.88795,49.36753,49.8363554
1,18,1,47.3711,0.028,44.71832,45.18938,45.67126,46.47646,47.3711,48.26574,49.07094,49.55282,50.0238816
1,19,1,47.5357,0.02803,44.87085,45.34405,45.82813,46.63699,47.5357,48.43441,49.24327,49.72735,50.2005513
1,20,1,47.6919,0.02806,45.01543,45.4907,45.97688,46.78927,47.6919,48.59453,49.40692,49.8931,50.3683694
1,21,1,47.8408,0.0281,45.15215,45.62958,46.11798,46.93407,47.8408,48.74753,49.56362,50.05202,50.529453
1,22,1,47.9833,0.02813,45.28376,45.76313,46.2535,47.07289,47.9833,48.89371,49.7131,50.20347,50.6828405
1,23,1,48.1201,0.02817,45.40901,45.89043,46.3829,47.2058,48.1201,49.0344,49.8573,50.34977,50.8311864
1,24,1,48.2515,0.02821,45.52915,46.01257,46.50708,47.3334,48.2515,49.1696,49.99592,50.49043,50.9738496
2,0,1,33.8787,0.03496,31.5099,31.93054,32.36083,33.07983,33.8787,34.67757,35.39657,35.82686,36.2474987
2,1,1,36.5463,0.0321,34.20003,34.61666,35.04287,35.75503,36.5463,37.33757,38.04973,38.47594,38.8925725
2,2,1,38.2521,0.03168,35.82845,36.25882,36.69908,37.43474,38.2521,39.06946,39.80512,40.24538,40.6757531
2,3,1,39.5328,0.0314,37.05014,37.49099,37.94197,38.69554,39.5328,40.37006,41.12363,41.57461,42.0154598
2,4,1,40.5817,0.03119,38.05021,38.49974,38.95958,39.72797,40.5817,41.43543,42.20382,42.66366,43.1131864
2,5,1,41.459,0.03102,38.88688,39.34362,39.81085,40.59157,41.459,42.32643,43.10715,43.57438,44.0311164
2,6,1,42.1995,0.03087,39.5941,40.05675,40.53002,41.32084,42.1995,43.07816,43.86898,44.34225,44.8048971
2,7,1,42.829,0.03075,40.19502,40.66274,41.14121,41.9407,42.829,43.7173,44.51679,44.99526,45.4629835
2,8,1,43.3671,0.03063,40.71043,41.18218,41.66477,42.47115,43.3671,44.26305,45.06943,45.55202,46.0237685
2,9,1,43.83,0.03053,41.15374,41.62897,42.11512,42.92745,43.83,44.73255,45.54488,46.03103,46.5062598
2,10,1,44.2319,0.03044,41.53906,42.01724,42.50639,43.32375,44.2319,45.14005,45.95741,46.44656,46.9247381
2,11,1,44.5844,0.03035,41.87813,42.35869,42.85029,43.67172,44.5844,45.49708,46.31851,46.81011,47.2906731
2,12,1,44.8965,0.03027,42.17847,42.66112,43.15485,43.97986,44.8965,45.81314,46.63815,47.13188,47.6145341
2,13,1,45.1752,0.03019,42.44752,42.93188,43.42737,44.2553,45.1752,46.0951,46.92303,47.41852,47.9028786
2,14,1,45.4265,0.03012,42.69001,43.17594,43.67302,44.50363,45.4265,46.34937,47.17998,47.67706,48.1629924
2,15,1,45.6551,0.03006,42.91032,43.39772,43.89631,44.72944,45.6551,46.58076,47.41389,47.91248,48.3998846
2,16,1,45.865,0.02999,43.11402,43.60252,44.10224,44.93725,45.865,46.79275,47.62776,48.12748,48.6159827
2,17,1,46.0598,0.02993,43.30266,43.79225,44.29309,45.12997,46.0598,46.98963,47.82651,48.32735,48.8169396
2,18,1,46.2424,0.02987,43.47988,43.97043,44.47224,45.31075,46.2424,47.17405,48.01256,48.51437,49.004921
2,19,1,46.4152,0.02982,43.647,44.13856,44.6414,45.48164,46.4152,47.34876,48.189,48.69184,49.1834025
2,20,1,46.5801,0.02977,43.80672,44.2992,44.80299,45.64479,46.5801,47.51541,48.35721,48.861,49.3534792
2,21,1,46.7384,0.02972,43.96027,44.45359,44.95824,45.80149,46.7384,47.67531,48.51856,49.02321,49.5165305
2,22,1,46.8913,0.02967,44.10877,44.60287,45.10832,45.95291,46.8913,47.82969,48.67428,49.17973,49.6738297
2,23,1,47.0391,0.02962,44.2525,44.74733,45.25352,46.09933,47.0391,47.97887,48.82468,49.33087,49.8256963
2,24,1,47.1822,0.02957,44.39184,44.88734,45.39421,46.24117,47.1822,48.12323,48.97019,49.47706,49.9725553
