Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,1,49.8842,0.03795,46.09799,46.77032,47.45809,48.60732,49.8842,51.16108,52.31031,52.99808,53.67041
1,1,1,54.7244,0.03557,50.83131,51.52262,52.2298,53.41147,54.7244,56.03733,57.219,57.92618,58.61749
1,2,1,58.4249,0.03424,54.42396,55.13442,55.8612,57.0756,58.4249,59.7742,60.9886,61.71538,62.42584
1,3,1,61.4292,0.03328,57.34047,58.06652,58.80924,60.0503,61.4292,62.8081,64.04916,64.79188,65.51793
1,4,1,63.886,0.03257,59.72447,60.46344,61.21939,62.48254,63.886,65.28946,66.55261,67.30856,68.04753
1,5,1,65.9026,0.03204,61.67956,62.42946,63.19658,64.4784,65.9026,67.3268,68.60862,69.37574,70.12564
1,6,1,67.6236,0.03165,63.34303,64.10314,64.88071,66.18,67.6236,69.0672,70.36649,71.14406,71.90417
1,7,1,69.1645,0.03139,64.82235,65.5934,66.38216,67.70013,69.1645,70.62887,71.94684,72.7356,73.50665
1,8,1,70.5994,0.03124,66.18835,66.97163,67.77291,69.1118,70.5994,72.087,73.42589,74.22717,75.01045
1,9,1,71.9687,0.03117,67.48217,68.27886,69.09384,70.45564,71.9687,73.48176,74.84356,75.65854,76.45523
1,10,1,73.2812,0.03118,68.71138,69.52286,70.35297,71.74005,73.2812,74.82235,76.20943,77.03954,77.85102
1,11,1,74.5388,0.03125,69.88013,70.70738,71.55363,72.96769,74.5388,76.10991,77.52397,78.37022,79.19748
1,12,1,75.7488,0.03137,70.99632,71.84023,72.70353,74.14605,75.7488,77.35155,78.79407,79.65737,80.50128
1,13,1,76.9186,0.03154,72.06657,72.92816,73.80954,75.28228,76.9186,78.55492,80.02766,80.90904,81.77063
1,14,1,78.0497,0.03174,73.09511,73.97491,74.87492,76.37879,78.0497,79.72061,81.22448,82.12449,83.0043
1,15,1,79.1458,0.03197,74.08522,74.98384,75.9031,77.43914,79.1458,80.85246,82.3885,83.30776,84.20638
1,16,1,80.2113,0.03222,75.04248,75.96033,76.89925,78.46814,80.2113,81.95446,83.52335,84.46227,85.38012
1,17,1,81.2487,0.0325,75.96753,76.90533,77.86466,79.46765,81.2487,83.02975,84.63274,85.59207,86.52987
1,18,1,82.2587,0.03279,76.86417,77.8221,78.80202,80.43942,82.2587,84.07798,85.71538,86.6953,87.65323
1,19,1,83.2418,0.0331,77.73119,78.70973,79.71074,81.38338,83.2418,85.10022,86.77286,87.77387,88.75241
1,20,1,84.1996,0.03342,78.5717,79.57106,80.59338,82.30162,84.1996,86.09758,87.80582,88.82814,89.8275
1,21,1,85.1348,0.03376,79.3865,80.40724,81.45143,83.19621,85.1348,87.07339,88.81817,89.86236,90.8831
1,22,1,86.0477,0.0341,80.17925,81.22133,82.28734,84.06859,86.0477,88.02681,89.80806,90.87407,91.91615
1,23,1,86.941,0.03445,80.95077,82.01447,83.1026,84.92082,86.941,88.96118,90.7794,91.86753,92.93123
1,24,1,87.8161,0.03479,81.70586,82.79087,83.9008,85.75545,87.8161,89.87675,91.7314,92.84133,93.92634
2,0,1,49.1477,0.0379,45.4223043,46.08383,46.76056,47.89133,49.1477,50.40407,51.53484,52.21157,52.8730957
2,1,1,53.6872,0.0364,49.7787718,50.4728,51.18277,52.3691,53.6872,55.0053,56.19163,56.9016,57.5956282
2,2,1,57.0673,0.03568,52.9949775,53.71811,54.45785,55.69393,57.0673,58.44067,59.67675,60.41649,61.1396225
2,3,1,59.8029,0.0352,55.5927758,56.34038,57.10515,58.38306,59.8029,61.22274,62.50065,63.26542,64.0130242
2,4,1,62.0899,0.03486,57.7609922,58.52969,59.31604,60.63,62.0899,63.5498,64.86376,65.65011,66.4188078
2,5,1,64.0301,0.03463,59.5953753,60.38286,61.18844,62.53451,64.0301,65.52569,66.87176,67.67734,68.4648247
2,6,1,65.7311,0.03448,61.1982833,62.00319,62.82658,64.20243,65.7311,67.25977,68.63562,69.45901,70.2639167
2,7,1,67.2873,0.03441,62.656588,63.47888,64.32005,65.72562,67.2873,68.84898,70.25455,71.09572,71.918012
2,8,1,68.7498,0.0344,64.0198138,64.85973,65.71894,67.15464,68.7498,70.34496,71.78066,72.63987,73.4797862
2,9,1,70.1435,0.03444,65.3120157,66.16996,67.0476,68.51411,70.1435,71.77289,73.2394,74.11704,74.9749843
2,10,1,71.4818,0.03452,66.5466965,67.42304,68.31951,69.81746,71.4818,73.14614,74.64409,75.54056,76.4169035
2,11,1,72.771,0.03464,67.7294251,68.62467,69.54048,71.07075,72.771,74.47125,76.00152,76.91733,77.8125749
2,12,1,74.015,0.03479,68.8650363,69.77953,70.71503,72.2782,74.015,75.7518,77.31497,78.25047,79.1649637
2,13,1,75.2176,0.03496,69.9583854,70.89228,71.84762,73.44396,75.2176,76.99124,78.58758,79.54292,80.4768146
2,14,1,76.3817,0.03514,71.0135941,71.96683,72.94195,74.57133,76.3817,78.19207,79.82145,80.79657,81.7498059
2,15,1,77.5099,0.03534,72.0315003,73.00432,73.99947,75.66234,77.5099,79.35746,81.02033,82.01548,82.9882997
2,16,1,78.6055,0.03555,73.016649,74.00908,75.0243,76.72069,78.6055,80.49031,82.1867,83.20192,84.1943511
2,17,1,79.671,0.03576,73.9729301,74.98475,76.01981,77.74936,79.671,81.59264,83.32219,84.35725,85.3690699
2,18,1,80.7079,0.03598,74.9001595,75.93146,76.98644,78.74927,80.7079,82.66653,84.42936,85.48434,86.5156405
2,19,1,81.7182,0.0362,75.8018023,76.8524,77.92712,79.72293,81.7182,83.71347,85.50928,86.584,87.6345977
2,20,1,82.7036,0.03643,76.6778157,77.74783,78.84242,80.67144,82.7036,84.73576,86.56478,87.65937,88.7293843
2,21,1,83.6654,0.03666,77.5310529,78.62035,79.73466,81.59662,83.6654,85.73418,87.59614,88.71045,89.7997471
2,22,1,84.604,0.03688,78.363609,79.47174,80.60531,82.49946,84.604,86.70854,88.60269,89.73626,90.844391
2,23,1,85.5202,0.03711,79.1728908,80.3,81.453,83.3796,85.5202,87.6608,89.5874,90.7404,91.8675092
2,24,1,86.4153,0.03734,79.9618054,81.10777,82.28006,84.23889,86.4153,88.59171,90.55054,91.72283,92.8687946
